EID	CID	Language	Form
31227	282-dea3521b3683e50482156ef0e1c80878-1-1	Itbayaten	saxbay
30964	846-53d670af9bb16ea82e7ef41ee23ec6df-1-1	Minyaifuin	siei
30668	244-47191a3656b53f3e3ea35e6d990a4d97-1-1	Bikol	pag-ka-saʔl-án
30668	287-250351deca240b6cfdc5a6631b5f9551-1-1	Kadazan_Dusun	hasaʔ
30668	244-7b67e1a89a2853b35eab333078cce2ea-1-1	Bikol	ka-saʔl-án
30404	287-cc7fde7d68b6081fb6dcd94ffb09a925-1-1	Kadazan_Dusun	hasoŋ
31038	18577-fa6b3fa35f48a1dc47e335a6b8ac5dc5-1-1	Ngaju_Dayak	laseh
30751	326-3f451d0fb80557dd55c3821f04e5afb6-1-1	Malay	semak
31540	19250-757e2d757ff5b89edc91063705414c7d-1-1	Halia	soa
31201	326-29a27c4d56d2c8bd074e40ba557ac9b5-1-1	Malay	səpuy ~ səpuhi
31042	19175-55a4a78b18238856a3b6e68de065576f-1-1	Tboli	sefel
32709	1131-c280ed8fc6b4ae8ad60efc5dd9f9c39b-1-1	Yami	asoŋ
31044	434-4ccdcfec8980c1e1882d30e6213c2e5f-1-1	Tongan	vaha
31093	423-8b55f227e7b73a4f8c014d12132e13e9-1-1	Tagalog	sáwaɁ
31093	825-b689e9b112ad4b4da434031dc4830838-1-1	Mansaka	sawaɁ
30700	272-0d6f6ec5202a8c491d3dfe4560f3602d-1-1	Gorontalo	in-tupo
31267	673-5e29a6b5ae597b8a289b83b80e27efaa-1-1	Kalinga_(Guinaang)	sogob ~ sobg-on
30778	363-7aea2552dfe7eb84b9443b6fc9ba6e01-1-1	Nukuoro	sugi
28245	276-5e1aecf150c31ae292b4b324ad2654ba-1-1	Iban	sumit
28247	375-ebd556e6dfc99dbed29675ce1c6c68e5-1-1	Pazeh	lizax
28247	1062-ebd556e6dfc99dbed29675ce1c6c68e5-1-1	Thao	tilhaz
31045	273-a9d719491cf5efcbfea518802bda4b2a-1-1	Hanunóo	síduʔ
31474	338-41d1de28e96dc1cde568d3b068fa17bb-1-2	Miri	siŋot
28344	615-41d1de28e96dc1cde568d3b068fa17bb-1-1	Gimán	usnut
28323	317-b9361276e142f306ab7c98020de7b8cc-1-1	Kenyah_(Long_Anap)	suaʔ
27568	569-f50e6c3593d2dfc0f3f5420263dffdd0-2-1	Casiguran_Dumagat	lasém
27568	273-d3733b2ca552da93f36d27fde1c717b5-1-1	Hanunóo	ʔaslúm
27568	226-a03669fad60e639428cf52d822ba5eea-1-1	Aklanon	áslom
27568	623-9b9f0dadd096b45f3662e940e89f5b8e-1-1	Hiligaynon	áslum
27568	331-73f37144125d3f58c683f815d874f5ea-1-1	Maranao	lasem
27570	19308-8720f3017026330b4507e6b2550ae44e-1-1	Lusi	amlaŋo
27575	423-53f018f2ee1fc4fb7ad2be1cc7b9ed43-2-1	Tagalog	alitaptap
27580	19173-b0b4a81fda1a7173cba96ef10a805825-1-1	Central_Tagbanwa	lakon
27579	678-0f9cbb340bdabfc793cb270ce828deaf-2-1	Kambera	nulaŋu
27582	433-ba1fd711b87a89f982f316a5a936fe1f-1-1	Tiruray	liyufon
27582	245-ba1fd711b87a89f982f316a5a936fe1f-1-1	Mongondow	ulipan
27582	313-ba1fd711b87a89f982f316a5a936fe1f-1-1	Lau	safila
27592	623-8d8d1437907bca79900ac5f0ea1f5c73-1-1	Hiligaynon	amính-an
27600	647-19c3bf8c1bf6b977ce9a26661930afae-1-1	Isneg	alináw
27600	241-95c0275607db9c7deaf3886b17f67b2d-1-1	Bimanese	rino
27600	395-b9aa3410a67447ce8032dad6fb1eba12-2-1	Rotinese	lino
27618	372-19d4036e9895a1703fab7923599f1b9b-1-1	Palauan	ləʔúl
27597	254-906aa61373f6e0894bc7aa7b27718d70-1-1	Cheke_Holo	n-anitu, naʔitu
27597	254-906aa61373f6e0894bc7aa7b27718d70-2-1	Cheke_Holo	n-anitu, naʔitu
27617	968-22b658100f5f7254e9c0294d063d62d1-1-1	Rukai_(Mantauran)	uɭuɭaŋə (&lt;?
27710	18964-5d9292cb91fc1addd8ebcb88f236fa5c-1-1	Puyuma_(Tamalakaw)	m-u-a-laHud
27710	289-8a3fd5be41bff93b2015c23170ae25a1-1-1	Kankanaey	m-a-ʔacúnu
27710	18964-4adb276282b0a6451b5a3d0bec89895c-1-1	Puyuma_(Tamalakaw)	pa-a-laHud
27620	18285-1f0e809084bc359017988eb1cb4a53ed-1-1	Kalamian_Tagbanwa	kaap
32895	394-9d350a703c480d8679ea81d35e1ba869-1-1	Rotuman	alahi
29964	375-e2bbb098e9f3c4367dd6121e90df7ab9-1-1	Pazeh	xaidaŋ
27662	361-0e9312087f58f367d001ec9bae8f325a-1-1	Nias	adulo
27662	722-0e9312087f58f367d001ec9bae8f325a-1-1	Lampung	tahluy
27664	819-7844f498b582da87b51c49db4fdde6f9-1-1	Manobo_(Western_Bukidnon)	tilema
27665	304-30e6cb4522847f51ddaa376b9e13e793-1-1	Kowiai/Koiwai	atumin
27665	589-2b9abafda9dfcf035192605a99923b7c-1-1	Dusner	tinem
27693	244-297377be1e68013555961123e3fef9ed-1-1	Bikol	daʔí
29943	19086-1ffd9e753c8054cc61456ac7fac1ac89-1-1	Proto-Rukai	*mai-ceɭeŋe
27741	19411-d97df9f4307662b91bd2d13153ea39e0-1-1	Nakanamanga	one
27772	370-ab2da333f07d018c6322d4e26987672c-1-1	Paiwan	qetsilu
27772	550-0e9312087f58f367d001ec9bae8f325a-1-1	Bonggi	tilug
27772	317-0e9312087f58f367d001ec9bae8f325a-1-1	Kenyah_(Long_Anap)	tilo
27772	591-0e9312087f58f367d001ec9bae8f325a-1-1	Dusun_Malang	tilor
27777	375-705b9755c53e447e025d8d9ef814f27f-1-1	Pazeh	da-dius
27777	375-100d102d3b7de280446cd6a70f5a439a-1-1	Pazeh	mu-dius
27789	1062-2a3c93bee97cb9bf74c6f73481a4b09b-1-1	Thao	q&lt;m&gt;iur
27813	877-9080e5d6d4fca01bd3d61035ec5d9784-1-1	Lakalai	liho
27814	357-2f7136918968f02c0777c4f9a8317480-1-1	Ngadha	esi
27819	19349-1ffd9e753c8054cc61456ac7fac1ac89-1-1	Dhao/Ndao	medi
27820	434-289a1198c74fbb92623e4e57b090d446-1-1	Tongan	siʔi
27850	326-4ddede049bf81b053bb9e924a14ffe6e-1-1	Malay	hidup
27850	706-1fd15c11e4cc8a1af599e8adcc0ec332-1-1	Kodi	mo-piru
27850	614-9b51eb6b76cb322a18f91db26aff7c1f-1-1	Gilbertese	ma-iu
27866	226-f14b35a1934e99b444c67965ad2725a9-1-1	Aklanon	únl-an
27866	18432-fa3cb6e463389a797ee6288af38bdd2f-1-1	Malagasy	óndana
27875	445-672bf9abfcc6c73cce0df473a4af8aa5-1-1	Wuvulu	unum-ia
27916	252-8fbfb9a7b7037da541b54dc6cbc91b35-1-1	Cebuano	uláŋ
27916	18831-4f4e35d1cff402788fee027c112a9d90-1-1	Tausug	ulaŋ
27899	227-52def7c94d005c020297bef28628392a-1-1	Amis	soʔaw
27902	235-c46080ec56fcdd8ea8736fd61cd5ecb1-1-1	Balinese	ohoŋ
27904	279-f164cdf836b3a1f4c08170f5aa7ed153-1-1	Ilokano	úsat
