Language,Form,Gloss,Gloss_Fixed,Source,Form_ID_v1.2
Sa'a,rue,"two, used by itself or with <span class=""wd"">ro</span>, of phases of the moon","two, used by itself or with _ro_, of phases of the moon",,18945-7d5033535df1b094463210396948e9e0-1
Ibanag,saleŋ,"a pine: <i>Agathis philippinensis</i> Warb.  Araucariaceae (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Madulid"">Madulid 2001</a></span>)",a pine: _Agathis philippinensis_ Warb. Araucariaceae ([Madulid 2001](Source#cldf:madulid2001)),madulid2001,633-911eefa8158cfeb342a5225f9b1b274c-1
Ibaloy,tiktik,"the two pieces of iron that are held, one in each hand, and beaten together by one of those accompanying the <span class=""wd"">tayaw</span> dance, making a dull sound","the two pieces of iron that are held, one in each hand, and beaten together by one of those accompanying the _tayaw_ dance, making a dull sound",,19182-79320a5136627ef2b80ce57f1209129a-1
Pazeh,-ən,"passive suffix; e.g. <span class=""wd"">sulih-ən</span> be baked, <span class=""wd"">kan-ən</span> be eaten, <span class=""wd"">ʔutaʔ-ən</span> be vomited, <span class=""wd"">ʔalaw kan-ən inaki lia</span> The fish was already eaten by me; (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Li"">Li 1978:570</a></span>) <span class=""wd"">Rubaŋ-en ni saw lia ki wazuʔ</span> The dog was already buried by some person (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Li"">Li 1978:574</a></span>)","passive suffix; e.g. _sulih-ən_ be baked, _kan-ən_ be eaten, _ʔutaʔ-ən_ be vomited, _ʔalaw kan-ən inaki lia_ The fish was already eaten by me; ([Li 1978:570](Source#cldf:li1978)) _Rubaŋ-en ni saw lia ki wazuʔ_ The dog was already buried by some person ([Li 1978:574](Source#cldf:li1978))",li1978[570] li1978[574],375-3fce51280d92350c36021505e73a25e0-1
Ilokano,ka-silag-an,"grove of <span class=""wd"">buri</span> palms",grove of _buri_ palms,,279-c4e2dfc347fc62fcbc39017f9a38f783-1
Tiruray,ʔifun,"a nonglutenous rice, a variety of <span class=""wd"">farey</span>","a nonglutenous rice, a variety of _farey_",,433-38e0b6ac294e5f9a799875180ef126b4-1
Pangasinan,bílaŋ,"for example (usually follows <span class=""wd"">siŋá</span>  ‘like, as if’, or is reduplicated: <span class=""wd"">bil-bílaŋ</span>)","for example (usually follows _siŋá_ ‘like, as if’, or is reduplicated: _bil-bílaŋ_)",,920-5dcfd19cd138d9103e5d984364f8d57b-1
Iban,lawaʔ,"come, go to (visit) (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Scott"">Scott 1956</a></span>)","come, go to (visit) ([Scott 1956](Source#cldf:scott1956))",scott1956,276-918130b31d58d4c1713e000afed9632a-1
Rarotongan,uta,"inland, as opposed to <span class=""wd"">tai</span>, seaward; the interior part of a country","inland, as opposed to _tai_, seaward; the interior part of a country",,388-478a82cf6956e17b807f659ddca7a221-1
Tuvaluan,tau-malo,"stage in boy’s life when <span class=""wd"">malo</span> must be worn; a boy who has reached this stage",stage in boy’s life when _malo_ must be worn; a boy who has reached this stage,,19417-58ffea91e65628dc15170f40d7593589-1
Ilokano,salup-én,"to measure by the <span class=""wd"">salúp</span>",to measure by the _salúp_,,279-507558d5a6f041cba5a8b086030b365f-2
Malay,barat,"West; etym. associated with <span class=""wd"">ribut</span>, i.e. strong Westerly winds","West; etym. associated with _ribut_, i.e. strong Westerly winds",,326-a538495d5a2504640f9db569b2a482fe-1
Nggela,tola,"a canoe smaller than <span class=""wd"">peko</span> (war canoe with high prow and stern) and with lower ends",a canoe smaller than _peko_ (war canoe with high prow and stern) and with lower ends,,359-fa071eda9db7c2a3563b3e5988aa04ca-1
Malay,adas,"fennel.  Also (specifically) <span class=""wd"">adas pedas</span> or 'peppery <span class=""wd"">adas</span>' in contrast to <span class=""wd"">adas manis</span> ... 'sweet <span class=""wd"">adas</span>' or aniseed",fennel. Also (specifically) _adas pedas_ or 'peppery _adas_' in contrast to _adas manis_ ... 'sweet _adas_' or aniseed,,326-b819713bcd5966b585a0a607e5694275-1
Toba_Batak,ha-dua-n,"day after tomorrow (< <span class=""wd"">ha-dua-an</span>)",day after tomorrow (< _ha-dua-an_),,427-e7c51f5f7bc2cd638e916d5edbaa12ff-1
Cebuano,lakatán,"kind of sweet yellow banana, longer than <span class=""wd"">alitundan</span>, very much like those sold in the United States; it is eaten raw, and is more difficult to digest than the <span class=""wd"">alitundan</span>: <i>Musa sapientum</i> var. <i>lacatan</i>","kind of sweet yellow banana, longer than _alitundan_, very much like those sold in the United States; it is eaten raw, and is more difficult to digest than the _alitundan_: _Musa sapientum_ var. _lacatan_",,252-a01f6eccee8cf24175b6a94b823ebb16-1
Buruese,tufa-h,"to poison fish using <span class=""wd"">tufa</span> poison (tr.)",to poison fish using _tufa_ poison (tr.),,251-866183fc8b0099c7f272b9fd7086638c-1
Maranao,kaŋ,"owl (but see note to <span class=""wd"">kekuŋ</span> 'owl')",owl (but see note to _kekuŋ_ 'owl'),,331-95211b982e5b41219d276aada1756ae1-1
Fijian,a,"common article, used (1) before nouns: <span class=""wd"">a tamata</span> 'a man or the man'; (2) before possessives (really nouns): <span class=""wd"">a noqu</span> 'mine'; (3) before the preformative <span class=""wd"">i</span>","common article, used (1) before nouns: _a tamata_ 'a man or the man'; (2) before possessives (really nouns): _a noqu_ 'mine'; (3) before the preformative _i_",,266-5c4bcb75d0f40021b38983bbfe929db6-1
Banoni,taghisi,"sea, saltwater, more a place than a liquid; <span class=""wd"">gutsini</span> more a liquid","sea, saltwater, more a place than a liquid; _gutsini_ more a liquid",,519-0184ec44c82ea2c9204d3be3fe9e67f9-1
Mansaka,dato-ʔ,"leader, chief; a <span class=""wd"">dato-ʔ</span> is usually someone who has wealth","leader, chief; a _dato-ʔ_ is usually someone who has wealth",,825-cf1237c573916037fbb45fe3182df95f-1
Iban,upih,"spathe of palm blossom (<span class=""wd"">mayang</span>), esp. areca (<span class=""wd"">pinang</span>), yielding tough waterproof material for e.g. bailers","spathe of palm blossom (_mayang_), esp. areca (_pinang_), yielding tough waterproof material for e.g. bailers",,276-dbed7114aec858ef6d6db65d56394ae2-1
Kenyah_(Lepu_Tau),udoʔ,"a carving; a patron (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Galvin"">Galvin 1967</a></span>)",a carving; a patron ([Galvin 1967](Source#cldf:galvin1967)),galvin1967,19207-c831101679cd2f52e39893282e676b02-1
Malay,timba,"hand bucket; dipper; bailing or emptying out with a bucket (but the indigenous bucket is of palm-spathe, and is known as <span class=""wd"">limas</span>)","hand bucket; dipper; bailing or emptying out with a bucket (but the indigenous bucket is of palm-spathe, and is known as _limas_)",,326-97a9898b3ce0779dbe7c3e07883f4d89-1
Karo_Batak,anak,"child; BC (m.s.), ZC (w.s.); young of animals; sprout of a plant; descendant; inhabitant; figuratively of things that are small for their kind, in contrast with <span class=""wd"">induŋ</span> for things that are large for their kind","child; BC (m.s.), ZC (w.s.); young of animals; sprout of a plant; descendant; inhabitant; figuratively of things that are small for their kind, in contrast with _induŋ_ for things that are large for their kind",,18314-1b1bf64230a6ec6ced16fdb4aef17629-1
Cebuano,kitáŋ,"kind of longline sea fishing, done with a main line to which individual 	leaders with hooks are attached for catching large fish; to fish with the <span class=""wd"">kitáŋ</span>","kind of longline sea fishing, done with a main line to which individual leaders with hooks are attached for catching large fish; to fish with the _kitáŋ_",,252-d1434df149879a8bda1a606c3f4e7dc5-1
Pohnpeian,umw,"to bake in an <span class=""wd"">uhmw</span> (intr.)",to bake in an _uhmw_ (intr.),,381-43ea1e7793bd4796f01ce9a57526b9ea-1
Lakalai,ta-,"prefix marking action that takes place of its own accord (<span class=""wd"">gole</span> ‘to pluck leaves’ : <span class=""wd"">ta-gole</span> ‘to fall off, of a tree branch’)","prefix marking action that takes place of its own accord (_gole_ ‘to pluck leaves’ : _ta-gole_ ‘to fall off, of a tree branch’)",,877-c9dc1610d7e8ce1594116145e6137776-1
Javanese,ṭuk,"a stroke of the <span class=""wd"">keṭuk</span> gong; a knock",a stroke of the _keṭuk_ gong; a knock,,285-89b578ac7e8934799dc710dd6744d053-1
Wayan,mata ni tū,"traditionally, a group of <span class=""wd"">vanua</span> (tribes) or <span class=""wd"">avusa</span> (clans) who agree to combine under one chief; a federation of peoples under one rule, a kingdom","traditionally, a group of _vanua_ (tribes) or _avusa_ (clans) who agree to combine under one chief; a federation of peoples under one rule, a kingdom",,19060-2b4ba04b547f98234d270e8e6936e745-1
Kadazan_Dusun,ko-tuba-an,"act of poisoning with <span class=""wd"">tubo</span>",act of poisoning with _tubo_,,287-2d071eae82ca8789242e5df790a74169-1
Cebuano,kawaʔ-káwaʔ,"concave depression on the ground roughly having a depth and diameter of a <span class=""wd"">káwaɁ</span>",concave depression on the ground roughly having a depth and diameter of a _káwaɁ_,,252-fe5901dfeac0e513353b9271ceeb524c-1
Proto-Sama-Bajaw,*lalak,"trochus, top shell (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Pallesen"">Pallesen 1985:323</a></span>)","trochus, top shell ([Pallesen 1985:323](Source#cldf:pallesen1985))",pallesen1985[323],19586-2a4a6c52797960ab786aeb6bf08fdf1d-1
Iban,kurai,"hard, rough patches of skin (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Scott"">Scott 1956</a></span>); mottled, of skin (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Richards"">Richards 1981</a></span>)","hard, rough patches of skin ([Scott 1956](Source#cldf:scott1956)); mottled, of skin ([Richards 1981](Source#cldf:richards1981))",scott1956 richards1981,276-2857440dcfe033fd7710ed8b3a099b59-1
Cebuano,búhat,"ceremony of offering something cooked with no salt to spirits to insure harvest, give thanks, diagnose an illness; the one who performs this ceremony is the <span class=""wd"">diwatah-an</span>","ceremony of offering something cooked with no salt to spirits to insure harvest, give thanks, diagnose an illness; the one who performs this ceremony is the _diwatah-an_",,252-0e3c080e17ecea7a0e31ce8ca206e7e2-1
Mansaka,bosaw,"demon. There is only one of this demon, and he is the leader of the other demons. He is believed to eat people, and is used in curses such as 'May you be eaten by the <span class=""wd"">bosaw</span>'","demon. There is only one of this demon, and he is the leader of the other demons. He is believed to eat people, and is used in curses such as 'May you be eaten by the _bosaw_'",,825-0e63a9bb7c74127f35d152f9905be5e6-1
Nggela,mboŋi,"night; a day, as a measure of time (<span class=""wd"">e rua na mboŋi</span> 'two days'); yesterday; the weather","night; a day, as a measure of time (_e rua na mboŋi_ 'two days'); yesterday; the weather",,359-e7d1ffb63086cda62cf55ac02bb590e2-1
