Language Name	Language ID	Word ID	Word form	Original Entry ID	New Entry ID
Ilokano	279	b13aa28043397548fca8ca0f125e87f7-1	takkúb	32247#s-10536	31162#s-9171
Cebuano	252	4a83437a428200474854770ffe069151-1	takúb	32247#s-10536	31162#s-9171
Kadazan Dusun	287	58baedb559b6053d8fd374f6d1bac034-1	taŋkub	32247#s-10536	31162#s-9171
Lun Dayeh	19418	9aa91f81de7610b371dd0e6fe4168b01-1	takub	32247#s-10536	31162#s-9171
Sangir	402	58baedb559b6053d8fd374f6d1bac034-1	ma-nakubəʔ	32247#s-10536	31162#s-9171
Aklanon	226	5d1ea941ac15a8f2e492d1a1d24a3062-1	sílak	30772#s-8478	25922#s-2093
Hiligaynon	623	f514339d1d043e3d6d5a943d07a94506-1	mag-sílak	30772#s-8478	25922#s-2093
Hiligaynon	623	8d4230261e3fd56de6729cc6ddd6cd41-1	sílak	30772#s-8478	25922#s-2093
Hiligaynon	623	f514339d1d043e3d6d5a943d07a94506-2	silák-an	30772#s-8478	25922#s-2093
Toba Batak	427	3a3e3a4e91f87f973125671eba0b3571-1	si<l>lak	30772#s-8478	25922#s-2093
Kambera	678	52e442e2c30ddca58b8407abb7bf19c1-1	hila	30772#s-8478	25922#s-2093
Kambera	678	102f066dcd8718a780c0eda26f39c8ee-1	ka-hila-ku	30772#s-8478	25922#s-2093
Bimanese	241	fb9aaf88574c10902a4d3b5a9e348cfc-1	dou ɓura	25662#s-1554	25660#s-1550
Bimanese	241	d508fe45cecaf653904a0e774084bb5c-1	ɓura	25662#s-1554	25660#s-1550
Mota	344	d508fe45cecaf653904a0e774084bb5c-1	vula	25662#s-1555	25660#s-1551
Gedaged	269	e57345176d118bff6da06ebfc1ccea75-1	abi	24828#s-173	24816#s-159
Lakalai	877	9f7b5da37217c868b7e5971c4ee698a3-1	abi	24828#s-173	24816#s-159
Bwaidoga/Bwaidoka	19016	3500caadb45c7934bbbe0d7addc151d7-1	abi	24828#s-173	24816#s-159
Toba Batak	427	33bfa84acdff71ac38c1cd849b6c14ca-1	buntul	25715#s-1668	25788#s-1819
Toba Batak	427	db9c83694e2002912f5c111197c23041-1	buntul-buntul	25715#s-1670	25788#s-1819
Lau	313	5cf61d8cbe928c561127a605715c383b-1	bulu	25685#s-1600	25721#s-1683
Arosi	485	847f876656beb2527528070d024488d3-1	buru	25685#s-1600	25721#s-1683
Mapun	19176	b51ab46eb12d74c0e2c3f6138065ff20-1	nabbuk	28426#s-5549	25893#s-2053
Gorontalo	272	d546de49c2fd0527a0e67a9cf04b000f-2	tobuʔo	28426#s-5549	25893#s-2053
Sundanese	418	37fdbff32e4b62a735dd96c1bba59269-1	təbuk	28426#s-5549	25893#s-2053
Binukid	19012	e549a200372db9f3fcfac9f384e4ac2d-1	ɨmis	26094#s-2336	26328#s-2646
Manobo (Western Bukidnon)	819	e549a200372db9f3fcfac9f384e4ac2d-1	emis	26094#s-2336	26328#s-2646
Dumpas	19573	e549a200372db9f3fcfac9f384e4ac2d-1	o-omis	26094#s-2336	26328#s-2646
Murut (Tagol)	470	e549a200372db9f3fcfac9f384e4ac2d-1	a-amis	26094#s-2336	26328#s-2646
Buli	249	e549a200372db9f3fcfac9f384e4ac2d-1	mis-mis	26094#s-2336	26328#s-2646
Nias	361	fd25417714a1b7dc44ea6ae68bf84a85-1	isõ	26364#s-2705	27815#s-4583
Tboli	19175	13d0afefc5922c9cd3e2e74065c82f5a-1	tebul	28427#s-5550	25892#s-2050
Amis	227	9dc6bc4fd19148e0356dd5301c156c25-1	sa-falod	32704#s-11121	25089#s-578
Aua	234	22b84b6e35ace0cd87f805ecf020ff36-1	luʔu	27867#s-4686	30356#s-7355
Isneg	647	a49121e4f811b416190097ce9c511f52-1	kammál	31295#s-9356	26206#s-2489
Bontok	246	d3ddcb70774c537324bcc5b40703ddcf-1	kəməl	31295#s-9356	26206#s-2489
Casiguran Dumagat	569	ca65e59445af405bd6bf4422b6d3086c-1	kəməl	31295#s-9356	26206#s-2489
Pangasinan	920	bae793033038d27ac5ac38d2049db594-1	kemél	31295#s-9356	26206#s-2489
Tagalog	423	6c7ac965fc2e38c651b428d7935631ee-1	kamál	31295#s-9356	26206#s-2489
