Entry form	Entry ID	Language ID	Word ID	Word form
*Rapi	27923#s-7373	511	ee1150845fa3041ceb3a3fcdbe42d68a-1	ga-ravi
*Rapi	27923#s-7373	344	fc8358bcf09e4b3947d1975622a9df14-1	rav
*Rapi	27923#s-7373	344	46137edb65bf9842d6b28ba7850f1959-1	ma-rav
*ta(ŋ)kep₁	28360#s-5478	293	155e8d424ae179cb0e27be66894941e7-1	takep
*putul putul 	25715#s-1671	359	346cb761a65129e94ec8c67dfa6fa4e9-1	vutu-vutu
*putul putul 	25715#s-1671	344	40ed532c100bb12565164f9a8d5a4685-1	vut-vut
*putul₁	25715#s-1669	432	ec6d9c8953ab272295ec0469bbed59ab-1	put
*putur	25714#s-1667	432	ec6d9c8953ab272295ec0469bbed59ab-1	put
*putur	25714#s-1667	359	346cb761a65129e94ec8c67dfa6fa4e9-1	vutu-vutu
*putur	25714#s-1667	344	40ed532c100bb12565164f9a8d5a4685-1	vut-vut
*Rujan	28044#s-4930	294	2b01b6bfa376bc4990259090be24ccf0-1	udan
*ujan	28605#s-5748	294	2b01b6bfa376bc4990259090be24ccf0-1	udan
*balud	32704#s-11121	227	659b84483dd5e3dbe3adf4088b966f6a-1	falod
*suNaR	30322#s-7289	370	a5c96dcb87d7d83e8db42b6092ba4239-1	t<m>ulʸar
*suNaR	30322#s-7289	19299	a5c96dcb87d7d83e8db42b6092ba4239-1	t<m>ulʸar
*sunaR	30322#s-7290	285	1904d557b9df14038d976a85b06ca71e-1	s<um>unar
*babak₁	27126#s-3596	19416	bfb1f6028ad6b5f830191e601d85e6ea-1	papak
*kodoŋ	31788#s-10068	19416	3a7ec495eedbc3be120e8fd13e007b92-1	kodo
*kodoŋ	31788#s-10068	485	3a7ec495eedbc3be120e8fd13e007b92-1	odo ~ odo-odo
*buŋaR 	25822#s-1864	279	04405c0581849b46ee2ab92bc66a8a2c-1	buŋár-en
*buŋaR 	25822#s-1864	18314	6caaa12a2b84a2baa6b57091a9413102-1	jelma buŋar-en
*asa₁ 	24878#s-305	282	f97c5d29941bfb1b2fdab0874906ab82-1	aʔsa
*asa₁ 	24878#s-305	525	f97c5d29941bfb1b2fdab0874906ab82-1	w-asa
*asa₁ 	24878#s-305	249	f97c5d29941bfb1b2fdab0874906ab82-1	asa
*hampaR	28110#s-5017	427	d544a62326c67f0aaff3b15ca0a55ecc-1	ampar-an
*hampaR	28110#s-5017	285	3ae5e0dd4b4ade22682f9aa2c054b195-1	ampar-an
*balut₁	25094#s-587	282	0ea79ef835c0105ce0fbb8ebdae0428b-1	mi-vaʔnan
*balut₁	25094#s-587	282	c4587112ef6a9ab00ba20f2db672cac8-1	miv-vaʔnan
*qeŋkem	27764#s-4511	350	5cea4c7e4af304f96240bb006e4e1d99-1	ghoŋko
*bara₁	25157#s-677	427	fbf6c21bdbec4f96d909f47fecb70fe2-1	bara
*bara₁	25157#s-677	272	dc42bba70e898069cd3bbd09e5e12c4b-1	bala
*bara₁	25157#s-677	325	ab936c9855ddc5a81a3865317ffeb2ba-1	bara
*bara₁	25157#s-677	404	499c5aa040f4d55995a8d651e0e5f73f-1	bara
*bara₁	25157#s-677	411	1835c12cdb0b06c47222790b430b044d-1	fara
*bala₂ 	25041#s-516	411	1835c12cdb0b06c47222790b430b044d-1	fara
*bara₄	25157#s-678	352	dc42bba70e898069cd3bbd09e5e12c4b-1	bala-bala
*bara₄	25157#s-678	396	763a5668c95554698f803bf3973c4545-1	bara
*bara₄	25157#s-678	396	722c4a7a5fe9b2e15f2bea34590515ee-1	bara-boko
*bara₄	25157#s-678	261	d064c02b9ac98769df1224ff7952e17f-1	bara
*bara₄	25157#s-678	254	5fe726dcd1143a38cfc396118cea2c52-1	bara-bosu
*bara₄	25157#s-678	254	fda6b7bd35ccc7e79a05e6157dc40a85-1	bara
*bara₄	25157#s-678	18004	024ec5d8e5badf2af7d75e8b58bed70b-1	para
*bara₄	25157#s-678	18004	77907fa69252b38924ba38d2d117c201-1	para ni keni
*bara₄	25157#s-678	485	4dfeb8c803602f4d9b53bfc11cdb1998-1	bara
*bara₄	25157#s-678	485	1434da342704584026d8e0ec65b877d2-1	bara-bara
*baRa₂ 	25156#s-675	272	dc42bba70e898069cd3bbd09e5e12c4b-1	bala
