ID,Name,Description,Category,Comment,Cognateset_ID,Dempwolff_Etymology
Root-29828,*-bag,sound of a heavy smack,root,,,
Root-29829,*-baj,"unravel, untie",root,"[Isneg](LanguageTable#cldf:647) _ubād_ 'untie, unbind, let loose' (expected &ast;&ast;_ubag_) suggests that [Aklanon](LanguageTable#cldf:226) _húbad_ may not contain the root &ast;_-baj_.",,
Root-29830,*-bak₁,peeling skin,root,,,
Root-29831,*-bak₂,sound of a heavy smack,root,,,
Root-29832,*-bak₃,"split off, separate",root,,,
Root-29833,*-ban,"group, company",root,,,
Root-29834,*-baŋ₁,broad,root,,,
Root-29835,*-baŋ₂,to fly,root,,,
Root-29836,*-baw₁,high; top,root,"[Bontok](LanguageTable#cldf:246) _teŋbaw_, [Maranao](LanguageTable#cldf:331) _tebao_ may belong to a single cognate set.",,
Root-29837,*-baw₂,shallow,root,[Palawan Batak](LanguageTable#cldf:247) _lubaʔo_ 'shallow' suggests &ast;_-baqu_.,,
Root-29838,*-bej,wind around repeatedly,root,,,
Root-29839,*-bek₁,"dull, muffled sound",root,[PWMP](LanguageTable#cldf:19094) &ast;_lebek_ fits equally well under &ast;_-bek₂_.  [Ifugaw](LanguageTable#cldf:636) _imbók_ may be cognate with [Tagalog](LanguageTable#cldf:423) _hibík_.,,
Root-29840,*-bek₂,"rotten, crumbling, pulverized",root,,,
Root-29841,*-beŋ₁,banging noise,root,,,
Root-29842,*-beŋ₂,"block, stop, dam",root,,,
Root-29843,*-beŋ₃,dull resounding sound,root,,,
Root-29844,*-bid,"twist, twine together",root,,,
Root-29845,*-bik,"slap, pat",root,,,
Root-29846,*-bir,"rim, edge",root,"[PAn](LanguageTable#cldf:19072) &ast;_bi(R)biR_, [Kavalan](LanguageTable#cldf:293) _tu:bíl_ 'lip' probably do not contain &ast;_-bir_ (cf. [Blust 1980:53ff](Source#cldf:blust1980)). Also cp. [Balinese](LanguageTable#cldf:235) _simpir_ 'edge, margin, rim'.",,
Root-29847,*-bis,drip,root,,,
Root-29848,*-bit₁,"hook, clasp; grasp with fingers",root,,,
Root-29849,*-bit₂,"whip, to whip",root,,,
Root-29850,*-bu  (or *-buH?),dust,root,,,
Root-29851,*-buC,"to weed, pluck, pull out",root,,,
Root-29852,*-buk₁,"decay, crumble; powder",root,,,
Root-29853,*-buk₂,"pound, thud, heavy splash",root,,,
Root-29854,*-bun (or *-bequn?),"heap, pile, cover with earth; collect, assemble ",root,,,
Root-29855,*-buŋ,ridge of the roof,root,,,
Root-29856,*-buq,fall,root,,,
Root-29857,*-buR₁,rice gruel; rice porridge; to mix,root,"Also [Bintulu](LanguageTable#cldf:242) _avud_ 'porridge of sago pearls boiled with coconut meat', [Maranao](LanguageTable#cldf:331) _kambor_ 'stir, mix', [Manobo (Western Bukidnon)](LanguageTable#cldf:819) _rembur_ 'to mix different kinds of seed together', [Maranao](LanguageTable#cldf:331) _sambor_ 'mix', [Maranao](LanguageTable#cldf:331) _sembor_ 'mix, mixture', [Isneg](LanguageTable#cldf:647) _tambúr_ 'mix shredded coconut meat with _bási_ (rum)', with root candidate &ast;_-bur_.",,
Root-29858,*-buR₂,"strew, sow; sprinkle",root,"Also [Balinese](LanguageTable#cldf:235) _burbur_ 'scatter, throw down in confusion'.",,
Root-29859,*-buR₃,turbid,root,"Also [Mongondow](LanguageTable#cldf:245) _lobog_ 'turbid, murky'.",,
Root-29860,*-bus,"end, terminate, finish, use up",root,"[Marsh (1977:95)](Source#cldf:marsh1977) also cites ""Proto-Favorlang-Pazeh-Saisiat"" &ast;_t₂abus_ 'all', but the supporting evidence that he cites is open to question.",,
Root-29861,*-but₁,buttocks; bottom,root,,,
Root-29862,*-but₂,"husk, coarse hair or fiber",root,,,
Root-29863,*-cak₁,muddy; sound of walking in mud,root,"Also [Malay (Jakarta)](LanguageTable#cldf:18430) _bacek_ 'wet, soft, become waterlogged'; [Sundanese](LanguageTable#cldf:418) _1+c+k_ 'muddy', with root candidate &ast;_-cek_.",,
Root-29864,*-cak₂,"step, tread, trample",root,,,
Root-29865,*-cek,blind,root,,,
Root-29866,*-ceq,"in pieces, break open",root,,,
Root-29867,*-cik,"fly out, splash, spatter",root,,,
Root-29868,*-cit,squirt out,root,,,
Root-29869,*-cut,"squirt, squeeze or slip out",root,,,
Root-29870,*-Cik,"mottled, spotted",root,,,
Root-29871,*-Cuk (or *-Cuquk?),"knock, pound, beat",root,,,
Root-30119,*-Cuŋ,deep resounding sound,root,,,
Root-29872,*-daŋ₁,"dazzle, shine",root,,,
Root-29873,*-daŋ₂,to warm by a fire,root,,,
Root-29874,*-daR,"lean on, recline",root,,,
Root-29875,*-dek₁ (or *-deqek?),"hiccough, sob",root,,,
Root-29876,*-dek₂,"pulverized, pounded fine",root,,,
Root-29877,*-dem₁,dark; overcast,root,"Also [Ilokano](LanguageTable#cldf:279) _derrém_ 'to dim, of the sun, the light of a candle, etc.'.",,
